Person,1998,1999,2006,2008,2009,2010,2011,2012,2013,2014,2015,Total
Язев Валерий Афонасьевич,,,2 786 923,,,127 648 094,181 440 638,108 798 969,53 955 597,56 680 930,581 964 793,1 113 275 944
Южилин Виталий Александрович,,,1 207 264,,,3 881 598,1 940 002,2 109 434,2 484 601,3 889 718,4 735 560,20 248 177
Эркенов Ахмат Чокаевич,,,113 660,,,4 162 402,1 966 714,2 393 190,2 999 772,4 345 343,5 378 358,21 359 439
Шхагошев Адальби Люлевич,,,17 100,,,4 353 120,2 414 943,2 361 169,2 837 235,4 242 888,5 095 714,21 322 168
Шуба Виталий Борисович,,,1 219 776,,2 343 000,15 349 254,,,2 300 000,7 130 000,8 727 000,37 069 030
Шоршоров Степан  Мкртычевич,,,1 207 264,,,31 395 392,,,,,,32 602 656
Шойгу Сергей Кужугетович,101 739,,1 741 284,4 828 700,6 374 575,63 440 822,83 015 217,18 785 014,78 992 307,12 285 489,22 700 796,292 265 943
Шлегель Роберт Александрович,,,0,,,4 003 417,2 685 132,3 400 586,2 556 371,3 941 883,4 734 454,21 321 844
Богуславский Ирек Борисович,,,10 910 902,,102 962 810,225 122 684,75 153 604,389 838 519,82 561 971,3 796 090,319 102 605,1 209 449 185
Борзова Ольга Георгиевна,,,1 310 039,,2 048 135,4 206 914,2 151 549,2 236 077,2 729 878,4 184 248,5 086 978,23 953 818
Борцов Николай Иванович,,,458 727 497,,822 344 931,2 669 651 848,1 429 059 626,1 157 629 033,568 000 600,421 275 369,799 140 061,8 325 828 965
Бочаров Андрей Иванович,,,632 915,,3 019 242,5 858 724,2 950 588,,53 216 977,4 149 915,4 432 400,74 260 762
Булавинов Вадим Евгеньевич,,,270 418 516,,,8 877 876,108 484 798,38 851 789,78 216 543,51 095 949,32 790 059,588 735 531
Булаев Николай Иванович,,,1 268 278,,2 676 312,5 739 551,2 407 792,2 322 456,2 882 939,4 347 541,14 836 056,36 480 924
Бурыкина Наталья Викторовна,,,1 458 870,,41 892 048,88 420 727,38 287 553,46 263 650,44 363 283,14 999 236,15 581 697,291 267 064
